type,category,function,code,translate_key,name,word,word_default,multiple_row_flg,admin_flg
1,1,6,2,login/loginId,ログイン/ログインID,ログインID,ログインID,0,0
1,1,6,3,login/password,ログイン/パスワード,パスワード,パスワード,0,0
1,1,6,4,login/loginBtn,ログイン/ログインボタン,ログイン,ログイン,0,0
1,1,6,5,login/pwReminder,ログイン/パスワードリマインダー,パスワードを忘れた方はこちら,パスワードを忘れた方はこちら,0,0
1,2,7,1,paginator/first,ページ繰り/最初,<<,<<,0,0
1,2,7,2,paginator/back,ページ繰り/前,<,<,0,0
1,2,7,3,paginator/next,ページ繰り/次,>,>,0,0
1,2,7,4,paginator/last,ページ繰り/最後,>>,>>,0,0
1,2,8,1,form/zipSearchBtn,フォーム/郵便番号検索ボタン,住所検索,住所検索,0,0
1,2,8,2,form/zipCode,フォーム/郵便番号,郵便番号,郵便番号,0,0
1,2,8,3,form/pref,フォーム/都道府県,都道府県,都道府県,0,0
1,2,8,4,form/town1,フォーム/市区町村,市区町村,市区町村,0,0
1,2,8,5,form/town2,フォーム/町域番地,町域番地,町域番地,0,0
1,2,8,6,form/town3,フォーム/建物名,建物名,建物名,0,0
1,2,8,7,form/select,フォーム/選択,選択,選択,0,0
1,2,9,1,pageTitle/index,ページタイトル/トップページ,トップページ,トップページ,0,0
1,2,9,2,pageTitle/calendar,ページタイトル/予約状況,予約状況,予約状況,0,0
1,2,9,3,pageTitle/guestCode,ページタイトル/非会員ログイン認証,予約確認　認証,予約確認　認証,0,0
1,2,9,4,pageTitle/guestLogin,ページタイトル/非会員ログイン,予約確認,予約確認,0,0
1,2,9,5,pageTitle/idReminder,ページタイトル/IDリマインダー,IDリマインダー,IDリマインダー,0,0
1,2,9,6,pageTitle/idReminder/finish,ページタイトル/IDリマインダー/完了画面,IDリマインダー 完了,IDリマインダー 完了,0,0
1,2,9,7,pageTitle/inquiry,ページタイトル/お問い合わせ,お問い合わせ,お問い合わせ,0,0
1,2,9,8,pageTitle/login,ページタイトル/ログイン,ログイン,ログイン,0,0
1,2,9,9,pageTitle/newsDetailTitle,ページタイトル/お知らせ詳細,お知らせ情報,お知らせ情報,0,0
1,2,9,10,pageTitle/newsListTitle,ページタイトル/お知らせ一覧,お知らせ一覧,お知らせ一覧,0,0
1,2,9,11,pageTitle/pwReminder,ページタイトル/パスワードリマインダー,パスワードリマインダー,パスワードリマインダー,0,0
1,2,9,12,pageTitle/pwEditReminder/finish,ページタイトル/パスワード編集リマインダー/完了画面,パスワード再設定　完了,パスワード再設定　完了,0,0
1,2,9,13,pageTitle/pwReminder/finish,ページタイトル/パスワードリマインダー/完了画面,パスワードリマインダー 完了,パスワードリマインダー 完了,0,0
1,2,9,14,pageTitle/pwReminderEdit,ページタイトル/パスワードリマインダー編集,パスワード再設定,パスワード再設定,0,0
1,2,9,15,pageTitle/reservationsMailAdd,ページタイトル/予約オプトインメールアドレス登録,メールアドレス登録,メールアドレス登録,0,0
1,2,9,16,pageTitle/reservationsMailAddFinish,ページタイトル/予約オプトインメールアドレス登録完了,メールアドレス登録完了,メールアドレス登録完了,0,0
1,2,9,17,pageTitle/eventsDetail,ページタイトル/予約枠詳細,予約枠詳細,予約枠詳細,0,0
1,2,9,18,pageTitle/reservationsAdd,ページタイトル/予約登録,予約登録,予約登録,0,0
1,2,9,19,pageTitle/reservationsDetail,ページタイトル/予約詳細,予約詳細,予約詳細,0,0
1,2,9,20,pageTitle/reservationsEdit,ページタイトル/予約編集,予約編集,予約編集,0,0
1,2,9,21,pageTitle/reservationsHistory,ページタイトル/予約履歴,予約履歴,予約履歴,0,0
1,2,9,22,pageTitle/reservationsCancelFinish,ページタイトル/予約キャンセル/完了画面,予約キャンセル完了,予約キャンセル完了,0,0
1,2,9,23,pageTitle/rule,ページタイトル/利用規約,利用規約,利用規約,0,0
1,2,9,24,pageTitle/userAdd,ページタイトル/会員登録,会員登録,会員登録,0,0
1,2,9,25,pageTitle/userDetail,ページタイトル/会員詳細,会員詳細,会員詳細,0,0
1,2,9,26,pageTitle/userEdit,ページタイトル/会員編集,会員編集,会員編集,0,0
1,2,9,27,pageTitle/userMailAdd,ページタイトル/会員オプトインメールアドレス登録,メールアドレス登録,メールアドレス登録,0,0
1,2,9,28,pageTitle/userMailAddFinish,ページタイトル/会員オプトインメールアドレス登録完了,メールアドレス登録完了,メールアドレス登録完了,0,0
1,2,9,29,pageTitle/userPasswordEdit,ページタイトル/パスワード変更画面,パスワード変更,パスワード変更,0,0
1,2,9,30,pageTitle/userPasswordEdit/Finish,ページタイトル/パスワード編集完了画面,パスワード変更 完了,パスワード変更 完了,0,0
1,2,9,31,pageTitle/userWithdraw,ページタイトル/退会申請画面,退会申請,退会申請,0,0
1,2,9,32,pageTitle/userWithdrawFinish,ページタイトル/退会申請完了画面,退会申請完了,退会申請完了,0,0
1,2,9,33,pageTitle/waitingCancellation/list,ページタイトル/キャンセル待ち一覧,キャンセル待ち一覧,キャンセル待ち一覧,0,0
1,2,9,34,pageTitle/waitingCancellation/Token,ページタイトル/キャンセル待ち確認認証画面,キャンセル待ち確認　認証,キャンセル待ち確認　認証,0,0
1,2,9,35,pageTitle/waitingCancellation/tokenFinish,ページタイトル/キャンセル待ち確認認証完了画面,キャンセル待ち確認　認証完了,キャンセル待ち確認　認証完了,0,0
1,2,9,36,pageTitle/waitingCancellation/add,ページタイトル/キャンセル待ち登録,予約キャンセルのメール通知登録,予約キャンセルのメール通知登録,0,0
1,2,9,37,pageTitle/waitingCancellation/addFinish,ページタイトル/キャンセル待ち登録完了,予約キャンセルのメール通知登録完了,予約キャンセルのメール通知登録完了,0,0
1,2,9,38,pageTitle/userMailEdit,ページタイトル/メールアドレス変更画面,メールアドレス変更,メールアドレス変更,0,0
1,2,9,39,pageTitle/userMailEdit/Finish,ページタイトル/メールアドレス変更認証完了画面,メールアドレス変更 完了,メールアドレス変更 完了,0,0
1,2,9,40,pageTitle/paymentLink,ページタイトル/決済画面,決済,決済,0,0
1,3,10,1,reminder/id/1,リマインダー/ログインIDを忘れてしまった方リンク,ログインIDを忘れてしまった方は、登録時のメールアドレスを入力しリマインダーメールを受信してください。,ログインIDを忘れてしまった方は、登録時のメールアドレスを入力しリマインダーメールを受信してください。,1,0
1,3,10,2,reminder/id/finish,リマインダー/ID/完了画面,会員登録時のメールアドレスにメールを送信しました。メールをご確認ください。,会員登録時のメールアドレスにメールを送信しました。メールをご確認ください。,1,0
1,3,10,3,reminder/input/loginId,リマインダー/入力項目/ログインID,ログインID,ログインID,0,0
1,3,10,4,reminder/input/password,リマインダー/入力項目/パスワード,パスワード,パスワード,0,0
1,3,10,5,reminder/input/passwordConfirm,リマインダー/入力項目/パスワード（確認）,パスワード（確認）,パスワード（確認）,0,0
1,3,10,6,reminder/mail,リマインダー/メールアドレス,登録時のメールアドレス,登録時のメールアドレス,0,0
1,3,10,7,reminder/pw/1,リマインダー/パスワード/1,パスワードを忘れてしまった方は、登録時のメールアドレスを入力しリマインダーメールを受信してください。,パスワードを忘れてしまった方は、登録時のメールアドレスを入力しリマインダーメールを受信してください。,1,0
1,3,10,8,reminder/pw/finish,リマインダー/パスワード/完了画面,会員登録時のメールアドレスにメールを送信しました。メールをご確認ください。,会員登録時のメールアドレスにメールを送信しました。メールをご確認ください。,1,0
1,3,10,9,reminder/pwEdit/1,リマインダー/パスワード編集上部文言,ログインIDと新しいパスワードを入力してください,ログインIDと新しいパスワードを入力してください,0,0
1,3,10,10,reminder/pwEdit/finish,リマインダー/パスワード編集/完了画面,パスワードを再設定致しました。,パスワードを再設定致しました。,0,0
